Total Line Failures,Steady State,Accumulation of Failed Capacities
9,6,6126.0
10,7,6174.0
11,8,6090.0
12,9,6098.0
13,10,6034.0
14,11,6056.0
15,12,6077.0
16,13,6115.0
17,14,6123.0
18,15,6113.0
19,16,6111.0
20,17,6112.0
21,18,6124.0
22,19,6154.0
23,20,6162.0
24,21,6158.0
25,22,6153.0
26,23,6138.0
27,24,6180.0
28,25,6182.0
29,26,6165.0
30,-1,6201.0
5,2,6162.0
6,3,6155.0
7,4,6155.0
8,5,6162.0
9,6,6162.0
10,-1,6153.0
5,-1,6146.0
5,2,6101.0
6,3,6100.0
7,-1,6094.0
5,2,6064.0
6,3,6070.0
7,4,6069.0
8,5,6128.0
9,6,6132.0
10,-1,6127.0
5,2,6109.0
6,-1,6123.0
5,2,6123.0
6,-1,6121.0
5,2,6134.0
6,3,6136.0
7,-1,6128.0
5,2,6108.0
6,-1,6116.0
5,2,6182.0
6,3,6150.0
7,-1,6150.0
5,2,6063.0
6,3,6032.0
7,4,6032.0
8,5,6032.0
9,6,6016.0
10,7,6052.0
11,8,6028.0
12,9,6053.0
13,-1,6210.0
5,-1,6171.0
5,2,6094.0
6,3,6109.0
7,-1,6127.0
5,-1,6102.0
5,2,6096.0
6,3,6107.0
7,-1,6097.0
5,2,6098.0
6,-1,6104.0
5,-1,6093.0
5,2,6159.0
6,3,6150.0
7,-1,6171.0
5,-1,6111.0
5,2,6146.0
6,3,6133.0
7,4,6124.0
8,5,6129.0
9,-1,6129.0
5,2,6090.0
6,3,6108.0
7,-1,6122.0
5,2,6090.0
6,3,6112.0
7,4,6112.0
8,5,6105.0
9,-1,6108.0
5,2,6093.0
6,-1,6095.0
5,-1,6103.0
5,2,6104.0
6,3,6105.0
7,4,6093.0
8,5,6093.0
9,-1,6090.0
5,2,6112.0
6,3,6093.0
7,4,6093.0
8,-1,6096.0
5,-1,6122.0
5,-1,6096.0
5,2,6096.0
6,3,6102.0
7,4,6101.0
8,5,6107.0
9,6,6099.0
10,-1,6104.0
5,2,6151.0
6,3,6145.0
7,4,6130.0
8,5,6130.0
9,6,6122.0
10,7,6176.0
11,-1,6131.0
5,2,6130.0
6,3,6152.0
7,4,6063.0
8,5,6083.0
9,6,6076.0
10,7,6040.0
11,8,6095.0
12,9,6099.0
13,10,6097.0
14,11,6012.0
15,12,6049.0
16,13,6051.0
17,14,6039.0
18,15,6044.0
19,16,6052.0
20,17,6055.0
21,18,6035.0
22,19,6080.0
23,20,6049.0
24,21,6015.0
25,22,6121.0
26,23,6084.0
27,24,6127.0
28,25,6130.0
29,26,6134.0
30,27,6173.0
31,28,6139.0
32,29,6149.0
33,30,6204.0
34,31,6172.0
35,32,6197.0
36,33,6184.0
37,34,6166.0
38,35,6185.0
39,36,6184.0
40,37,6165.0
41,38,6144.0
42,-1,6656.0
5,2,6087.0
6,3,6088.0
7,4,6127.0
8,5,6131.0
9,6,6131.0
10,7,6100.0
11,-1,6100.0
5,2,6114.0
6,3,6129.0
7,4,6129.0
8,-1,6149.0
5,2,6143.0
6,3,6134.0
7,-1,6182.0
5,2,6081.0
6,-1,6080.0
5,2,6129.0
6,-1,6131.0
5,2,6128.0
6,3,6128.0
7,-1,6127.0
5,2,6130.0
6,3,6130.0
7,4,6131.0
8,5,6125.0
9,-1,6141.0
5,2,6133.0
6,3,6113.0
7,-1,6112.0
5,2,6134.0
6,-1,6134.0
5,2,6093.0
6,3,6097.0
7,4,6103.0
8,-1,6115.0
5,2,6227.0
6,3,6242.0
7,4,6242.0
8,5,6242.0
9,-1,6242.0
5,2,6168.0
6,-1,6155.0
5,2,6053.0
6,3,6049.0
7,4,6042.0
8,5,6038.0
9,6,6038.0
10,7,6003.0
11,8,6000.0
12,9,6000.0
13,10,6032.0
14,11,6032.0
15,12,6032.0
16,13,6098.0
17,14,6155.0
18,15,6155.0
19,16,6167.0
20,17,6182.0
21,18,6150.0
22,19,6174.0
23,20,6183.0
24,21,6131.0
25,22,6139.0
26,23,6107.0
27,-1,6146.0
5,2,6139.0
6,3,6140.0
7,-1,6140.0
5,2,6090.0
6,3,6089.0
7,4,6099.0
8,5,6099.0
9,-1,6101.0
5,2,6125.0
6,-1,6125.0
5,2,6146.0
6,-1,6146.0
5,2,6086.0
6,-1,6084.0
5,-1,6111.0
5,-1,6113.0
5,2,6100.0
6,3,6098.0
7,-1,6096.0
5,2,6096.0
6,3,6121.0
7,4,6116.0
8,5,6106.0
9,6,6107.0
10,-1,6117.0
5,2,6045.0
6,3,6044.0
7,4,6047.0
8,5,6052.0
9,6,6035.0
10,7,6004.0
11,8,6021.0
12,9,6064.0
13,10,6080.0
14,11,6080.0
15,12,6075.0
16,13,6073.0
17,14,6071.0
18,15,6070.0
19,16,6065.0
20,17,6067.0
21,18,6069.0
22,19,6102.0
23,20,6106.0
24,21,6097.0
25,22,6111.0
26,23,6120.0
27,24,6131.0
28,25,6123.0
29,26,6132.0
30,27,6133.0
31,28,6112.0
32,29,6111.0
33,30,6164.0
34,31,6164.0
35,32,6164.0
36,33,6164.0
37,34,6166.0
38,35,6204.0
39,36,6204.0
40,37,6204.0
41,38,6204.0
42,39,6195.0
43,40,6187.0
44,41,6186.0
45,42,6530.0
46,43,6571.0
47,-1,6571.0
5,2,6080.0
6,3,6095.0
7,4,6101.0
8,-1,6102.0
5,2,6150.0
6,-1,6150.0
5,2,6131.0
6,3,6124.0
7,4,6130.0
8,5,6129.0
9,-1,6117.0
5,2,6151.0
6,3,6153.0
7,-1,6162.0
5,-1,6119.0
5,2,6163.0
6,3,6166.0
7,4,6166.0
8,-1,6172.0
5,-1,6085.0
5,2,6112.0
6,3,6112.0
7,4,6107.0
8,-1,6100.0
5,2,6139.0
6,3,6122.0
7,4,6126.0
8,5,6125.0
9,-1,6153.0
5,2,6177.0
6,3,6174.0
7,4,6179.0
8,-1,6176.0
5,2,6119.0
6,-1,6109.0
5,-1,6095.0
5,-1,6119.0
5,2,6120.0
6,-1,6127.0
5,2,6083.0
6,3,6082.0
7,-1,6080.0
5,2,6160.0
6,3,6128.0
7,-1,6128.0
5,2,6127.0
6,3,6130.0
7,4,6120.0
8,5,6121.0
9,-1,6121.0
5,2,6120.0
6,3,6124.0
7,4,6117.0
8,5,6112.0
9,-1,6112.0
5,-1,6121.0
5,-1,6133.0
5,2,6098.0
6,3,6088.0
7,4,6081.0
8,5,6095.0
9,6,6117.0
10,7,6081.0
11,8,6087.0
12,9,6104.0
13,10,6083.0
14,11,6091.0
15,12,6072.0
16,13,6069.0
17,14,6061.0
18,15,6061.0
19,16,6062.0
20,17,6073.0
21,18,6088.0
22,19,6183.0
23,20,6215.0
24,21,6183.0
25,22,6187.0
26,23,6186.0
27,24,6180.0
28,25,6166.0
29,26,6138.0
30,27,6157.0
31,28,6171.0
32,29,6171.0
33,30,6171.0
34,31,6172.0
35,32,6178.0
36,33,6174.0
37,34,6171.0
38,35,6179.0
39,36,6188.0
40,37,6215.0
41,38,6214.0
42,39,6248.0
43,40,6282.0
44,41,6249.0
45,42,6215.0
46,-1,6213.0
5,2,6084.0
6,-1,6078.0
5,-1,6107.0
5,2,6115.0
6,3,6118.0
7,4,6100.0
8,-1,6095.0
5,-1,6082.0
5,-1,6098.0
5,2,6107.0
6,3,6106.0
7,-1,6117.0
5,-1,6091.0
5,2,6187.0
6,3,6186.0
7,4,6188.0
8,-1,6192.0
5,2,6096.0
