Total Line Failures,Steady State,Accumulation of Failed Capacities
25,24,6206.0
26,25,6172.0
27,26,6181.0
28,27,6189.0
29,28,6211.0
30,29,6228.0
31,30,6216.0
32,31,6230.0
33,32,6229.0
34,33,6236.0
35,34,6236.0
36,-1,6222.0
3,2,6153.0
4,3,6151.0
5,-1,6147.0
3,-1,6156.0
3,2,6101.0
4,3,6099.0
5,-1,6118.0
3,2,6097.0
4,-1,6097.0
3,2,6149.0
4,3,6146.0
5,-1,6094.0
3,2,6152.0
4,3,6150.0
5,-1,6145.0
3,-1,6137.0
3,2,6147.0
4,3,6146.0
5,-1,6172.0
3,-1,6154.0
3,2,6154.0
4,-1,6199.0
3,2,6144.0
4,-1,6181.0
3,-1,6211.0
3,2,6153.0
4,3,6151.0
5,-1,6142.0
3,2,6168.0
4,3,6151.0
5,-1,6151.0
3,2,6105.0
4,3,6106.0
5,-1,6106.0
3,2,6169.0
4,-1,6130.0
3,-1,6107.0
3,-1,6135.0
3,2,6117.0
4,3,6105.0
5,4,6080.0
6,5,6052.0
7,6,6049.0
8,7,6049.0
9,8,6063.0
10,9,6087.0
11,10,6086.0
12,11,6099.0
13,12,6101.0
14,13,6100.0
15,14,6102.0
16,15,6102.0
17,16,6102.0
18,17,6102.0
19,18,6069.0
20,19,6116.0
21,20,6147.0
22,21,6133.0
23,22,6193.0
24,23,6241.0
25,24,6272.0
26,25,6179.0
27,26,6165.0
28,27,6245.0
29,28,6293.0
30,29,6303.0
31,30,6304.0
32,31,6317.0
33,32,6318.0
34,33,6318.0
35,34,6320.0
36,-1,6325.0
3,-1,6184.0
3,2,6153.0
4,3,6150.0
5,4,6134.0
6,5,6185.0
7,6,6135.0
8,-1,6132.0
3,2,6194.0
4,3,6194.0
5,-1,6203.0
3,-1,6154.0
3,2,6132.0
4,-1,6129.0
3,2,6151.0
4,-1,6150.0
3,2,6124.0
4,3,6164.0
5,4,6160.0
6,5,6189.0
7,-1,6190.0
3,-1,6152.0
3,2,6177.0
4,3,6179.0
5,4,6207.0
6,-1,6182.0
3,2,6231.0
4,3,6215.0
5,4,6202.0
6,5,6237.0
7,-1,6192.0
3,-1,6154.0
3,2,6157.0
4,-1,6154.0
3,2,6119.0
4,-1,6138.0
3,-1,6125.0
3,2,6150.0
4,3,6150.0
5,4,6151.0
6,5,6174.0
7,-1,6135.0
3,-1,6152.0
3,2,6166.0
4,-1,6172.0
3,-1,6155.0
3,2,6125.0
4,-1,6135.0
3,2,6183.0
4,3,6186.0
5,-1,6221.0
3,-1,6150.0
3,-1,6154.0
3,2,6101.0
4,-1,6121.0
3,-1,6190.0
3,2,6144.0
4,-1,6153.0
3,2,6150.0
4,3,6143.0
5,4,6143.0
6,5,6217.0
7,6,6176.0
8,7,6109.0
9,8,6170.0
10,-1,6198.0
3,2,6168.0
4,3,6166.0
5,4,6176.0
6,-1,6150.0
3,2,6112.0
4,3,6128.0
5,-1,6154.0
3,2,6140.0
4,3,6150.0
5,4,6098.0
6,5,6098.0
7,6,6098.0
8,7,6098.0
9,8,6123.0
10,9,6059.0
11,10,6108.0
12,11,6095.0
13,12,6081.0
14,13,6070.0
15,14,6074.0
16,15,6074.0
17,16,6087.0
18,17,6162.0
19,18,6288.0
20,19,6252.0
21,20,6287.0
22,21,6288.0
23,22,6294.0
24,23,6293.0
25,24,6293.0
26,25,6295.0
27,26,6297.0
28,27,6200.0
29,28,6188.0
30,29,6202.0
31,30,6221.0
32,31,6222.0
33,32,6261.0
34,33,6268.0
35,34,6280.0
36,35,6303.0
37,36,6302.0
38,37,6241.0
39,38,6242.0
40,39,6247.0
41,40,6258.0
42,41,6253.0
43,42,6314.0
44,43,6316.0
45,44,6361.0
46,-1,6361.0
3,2,6135.0
4,3,6135.0
5,4,6129.0
6,5,6169.0
7,6,6169.0
8,7,6161.0
9,-1,6161.0
3,-1,6112.0
3,2,6171.0
4,3,6176.0
5,4,6180.0
6,5,6200.0
7,6,6175.0
8,7,6177.0
9,-1,6166.0
3,2,6157.0
4,-1,6152.0
3,2,6156.0
4,3,6146.0
5,-1,6148.0
3,2,6156.0
4,-1,6197.0
3,2,6112.0
4,3,6112.0
5,4,6134.0
6,5,6133.0
7,6,6121.0
8,7,6104.0
9,8,6104.0
10,9,6112.0
11,10,6112.0
12,11,6112.0
13,12,6112.0
14,13,6106.0
15,14,6106.0
16,15,6102.0
17,16,6111.0
18,17,6115.0
19,18,6111.0
20,19,6172.0
21,20,6132.0
22,21,6133.0
23,22,6194.0
24,23,6198.0
25,24,6204.0
26,25,6255.0
27,26,6254.0
28,-1,6246.0
3,-1,6181.0
3,2,6156.0
4,3,6165.0
5,-1,6150.0
3,-1,6147.0
3,2,6152.0
4,-1,6150.0
3,2,6151.0
4,3,6145.0
5,4,6145.0
6,-1,6137.0
3,2,6133.0
4,-1,6134.0
3,-1,6200.0
3,2,6149.0
4,3,6145.0
5,4,6139.0
6,5,6153.0
7,-1,6153.0
3,2,6128.0
4,3,6128.0
5,4,6130.0
6,-1,6117.0
3,2,6105.0
4,3,6106.0
5,4,6093.0
6,5,6147.0
7,6,6146.0
8,7,6147.0
9,8,6147.0
10,-1,6147.0
3,-1,6154.0
3,-1,6188.0
3,-1,6152.0
3,2,6152.0
4,-1,6145.0
3,2,6171.0
4,3,6164.0
5,4,6165.0
6,5,6165.0
7,-1,6165.0
3,-1,6124.0
3,-1,6136.0
3,-1,6161.0
3,2,6168.0
4,3,6193.0
5,-1,6159.0
3,2,6142.0
4,-1,6141.0
3,2,6181.0
4,3,6174.0
5,4,6171.0
6,5,6164.0
7,6,6191.0
8,-1,6222.0
3,2,6134.0
4,3,6152.0
5,-1,6146.0
3,-1,6180.0
3,2,6152.0
4,-1,6160.0
3,2,6154.0
4,-1,6154.0
3,-1,6143.0
3,2,6154.0
4,3,6210.0
5,4,6210.0
6,5,6211.0
7,-1,6210.0
3,2,6154.0
4,3,6149.0
5,4,6149.0
6,5,6147.0
7,6,6155.0
8,7,6154.0
9,-1,6144.0
3,2,6145.0
4,-1,6146.0
3,2,6195.0
4,3,6146.0
5,4,6137.0
6,-1,6140.0
3,2,6114.0
4,-1,6111.0
3,-1,6153.0
3,2,6159.0
4,3,6153.0
5,4,6153.0
6,-1,6203.0
3,2,6137.0
4,-1,6133.0
3,2,6147.0
4,-1,6147.0
3,2,6160.0
4,3,6148.0
5,-1,6145.0
3,2,6148.0
4,3,6153.0
5,-1,6204.0
3,2,6162.0
4,3,6141.0
5,4,6147.0
6,5,6157.0
7,-1,6157.0
3,-1,6183.0
3,-1,6181.0
3,-1,6130.0
3,2,6199.0
4,-1,6195.0
3,-1,6126.0
3,-1,6146.0
3,2,6173.0
4,3,6173.0
5,4,6173.0
6,-1,6173.0
3,2,6156.0
4,-1,6152.0
3,-1,6126.0
3,-1,6193.0
3,-1,6190.0
3,2,6156.0
4,-1,6153.0
3,-1,6150.0
3,2,6181.0
4,-1,6178.0
3,2,6153.0
4,3,6153.0
5,-1,6154.0
3,-1,6159.0
3,-1,6145.0
3,-1,6160.0
3,2,6189.0
4,3,6195.0
5,-1,6190.0
3,2,6125.0
4,3,6177.0
5,4,6164.0
6,5,6172.0
7,6,6195.0
8,-1,6213.0
3,2,6106.0
4,3,6112.0
5,4,6159.0
6,5,6190.0
7,6,6092.0
8,7,6093.0
9,8,6112.0
10,9,6118.0
11,10,6063.0
12,11,6065.0
13,12,6103.0
14,13,6142.0
15,14,6143.0
16,15,6143.0
17,16,6143.0
18,17,6143.0
19,18,6141.0
20,19,6141.0
21,20,6185.0
22,21,6129.0
23,22,6159.0
24,23,6171.0
25,24,6170.0
26,25,6179.0
27,26,6187.0
28,27,6218.0
29,-1,6219.0
3,2,6171.0
4,3,6166.0
5,-1,6112.0
3,2,6156.0
4,3,6156.0
5,-1,6156.0
3,-1,6125.0
3,2,6145.0
4,3,6144.0
5,-1,6144.0
3,-1,6124.0
3,2,6071.0
4,3,6111.0
5,4,6094.0
6,5,6106.0
7,6,6106.0
8,7,6106.0
9,8,6106.0
10,9,6106.0
11,10,6106.0
12,11,6106.0
13,12,6118.0
14,13,6124.0
15,14,6039.0
16,15,6037.0
17,16,6062.0
18,17,6157.0
19,18,6131.0
20,19,6170.0
21,20,6158.0
22,21,6135.0
23,22,6152.0
24,23,6151.0
25,24,6161.0
26,25,6184.0
27,26,6189.0
28,27,6197.0
29,-1,6199.0
3,2,6132.0
4,3,6127.0
5,4,6145.0
6,5,6090.0
7,6,6195.0
8,-1,6193.0
3,2,6133.0
4,3,6133.0
5,-1,6125.0
3,2,6148.0
4,-1,6144.0
3,2,6149.0
4,-1,6095.0
3,2,6152.0
4,-1,6139.0
3,2,6129.0
4,-1,6124.0
3,-1,6112.0
3,-1,6143.0
3,-1,6154.0
3,2,6152.0
4,3,6159.0
5,4,6202.0
6,-1,6197.0
3,2,6147.0
